rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
51,MANORAMA,Manorama Industries Limited,NSE,Consumer Defensive,,41.39,1591.5,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),29,17,12,9,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
52,LIKHITHA,Likhitha Infrastructure Limited,NSE,Energy,,47.51,240.6,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),6/8 (75%),27,17,12,11,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_adx_20_28:4;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
53,SENORES,Senores Pharmaceuticals Limited,NSE,Healthcare,,74.34,1405.1,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),25,17,20,5,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
54,GALAPREC,Gala Precision Engineering Limited,NSE,Industrials,,63.87,1182.0,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),25,17,16,9,67,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
55,COCKERILL,John Cockerill India Limited,NSE,Industrials,,71.83,8959.0,NEUTRAL,No VCP,forming / still basing,Premium,ranging,6/8 (75%),22,25,5,15,67,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
56,ADANIENSOL,Adani Energy Solutions Limited,NSE,Utilities,,89.63,1722.6,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,ranging,8/8 (52w high),25,12,20,9,66,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
57,BHAGYANGR,Bhagyanagar India Limited,NSE,Basic Materials,,144.8,401.05,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),29,12,20,5,66,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5
58,HIRECT,Hind Rectifiers Limited,NSE,Industrials,,94.56,1244.5,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bearish (LH/LL),7/8 (exhaustion),30,20,7,9,66,TIER 2,A_rsi_45_65:5;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
59,SAKAR,Sakar Healthcare Limited,NSE,Healthcare,,114.81,877.7,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),30,20,7,9,66,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
60,531911,Galaxy Agrico Exports Ltd,BSE,,,64.01,69.9,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),25,12,20,9,66,TIER 2,A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
61,AMBIKCO,Ambika Cotton Mills Limited,NSE,Consumer Cyclical,,47.23,1728.2,MILD BULLISH,Strong VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),20,17,20,9,66,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
62,NITCO,Nitco Limited,NSE,Industrials,,28.15,110.86,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),5/8,32,17,5,12,66,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
63,ROLEXRINGS,Rolex Rings Limited,NSE,Industrials,,32.16,157.89,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),7/8 (exhaustion),29,25,7,5,66,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5
64,NITINSPIN,Nitin Spinners Limited,NSE,Consumer Cyclical,,75.86,550.35,MILD BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,8/8 (52w high),20,17,20,9,66,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
65,BOROSCI,Borosil Scientific Limited,NSE,Consumer Cyclical,,49.15,160.75,BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),6/8 (75%),20,20,15,11,66,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
66,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE,Industrials,,30.96,1837.4,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),22,15,20,9,66,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
67,PIXTRANS,Pix Transmissions Limited,NSE,Industrials,,39.57,1798.0,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),7/8 (exhaustion),24,17,16,9,66,TIER 2,A_rsi_45_65:5;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
68,SANSERA,Sansera Engineering Limited,NSE,Consumer Cyclical,,82.99,3218.8,MILD BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),19,17,20,9,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
69,CENTENKA,Century Enka Limited,NSE,Consumer Cyclical,,26.01,541.4,BULLISH,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),6/8 (75%),30,17,7,11,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
70,539730,Fredun Pharmaceuticals Ltd,BSE,,,90.52,955.2,BULLISH,No VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),33,17,10,5,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
71,HFCL,HFCL Limited,NSE,Technology,,236.66,213.17,BULLISH,Moderate VCP,forming / still basing,Premium,bullish (HH/HL),8/8 (52w high),25,15,16,9,65,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_valid_vcp:8;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
72,ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,Financial Services,,46.27,1150.6,MILD BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),7/8 (exhaustion),23,17,20,5,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
73,543828,Sudarshan Pharma Industries Ltd,BSE,,,91.75,40.0,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),26,12,18,9,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_adx_20_28:4;A_supertrend_green:3;B_bull_bos:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
74,506854,TANFAC Industries Ltd-$,BSE,,,30.3,2684.25,BULLISH,Moderate VCP,BROKEN OUT (fresh),Premium,bullish (HH/HL),8/8 (52w high),25,17,18,5,65,TIER 2,A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_macd_bull:5;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_chart_pattern:3;D_above_1x1:5
75,CCL,CCL Products (India) Limited,NSE,Consumer Defensive,,25.33,1191.4,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),19,17,20,9,65,TIER 2,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4
76,RAIN,Rain Industries Limited,NSE,Basic Materials,,48.67,206.77,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),28,12,20,5,65,TIER 2,A_rsi_45_65:5;A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
77,RADICO,Radico Khaitan Limited,NSE,Consumer Defensive,,44.42,4097.9,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),8/8 (52w high),14,22,20,9,65,TIER 2,A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
78,TINNARUBR,Tinna Rubber and Infrastructure Limited,NSE,Basic Materials,,47.61,991.6,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),23,17,20,5,65,TIER 2,A_stoch_cross_oversold:3;A_bb_squeeze:4;A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;D_above_1x1:5
